"","state","district","last_name","first_name","party","url","phone","state.y","state_code","district.y","total_hh","hh_qualify","enrollments","total_support","percent_eligible","HHEoE"
"106","CT","03","DeLauro","Rosa","Democrat","https://delauro.house.gov","202-225-3661","Connecticut","09","0903",285831,114798.454032578,38780.1494154112,21918648.313,40.1630523045361,33.7810728743837
"107","FL","03","Cammack","Katherine","Republican","https://cammack.house.gov","202-225-5744","Florida","12","1203",295221,163199.43241117,74308.6702717136,37574145.75,55.2804280221156,45.532431806808
"108","GA","03","Ferguson","A.","Republican","https://ferguson.house.gov","202-225-5901","Georgia","13","1303",280625,112580.944550016,57951.4825254459,32220626.938,40.1179312427674,51.4753920009082
"109","IA","03","Nunn","Zachary (Zach)","Republican","https://nunn.house.gov/","202-225-5476","Iowa","19","1903",322156,111572.802283326,33100.8828355391,16772579.4069,34.6331597993911,29.6675194654368
"110","IL","03","Ramirez","Delia","Democrat","https://ramirez.house.gov/","202-225-5701","Illinois","17","1703",267519,108662.186955644,30210.2677622965,15609076.0939,40.6184932493182,27.8020060231518
"111","IN","03","Banks","Jim","Republican","https://banks.house.gov","202-225-4436","Indiana","18","1803",293315,113790.971301978,37351.7090435222,19795548.8766,38.7948012552981,32.8248441999836
"112","KS","03","Davids","Sharice","Democrat","https://davids.house.gov","202-225-2865","Kansas","20","2003",289178,68543.4191786095,17160.1058909655,8850180.1882,23.7028470971545,25.035380634062
"113","KY","03","McGarvey","John","Democrat","https://mcgarvey.house.gov/","202-225-5401","Kentucky","21","2103",315064,133535.554816014,86329.3048002688,46736125.25,42.3836283472607,64.6489280845195
"114","LA","03","Higgins","Clay","Republican","https://clayhiggins.house.gov","202-225-2031","Louisiana","22","2203",294796,168371.381555154,88127.7584981243,47055051,57.1145407519619,52.3412932079886
"115","MA","03","Trahan","Lori","Democrat","https://trahan.house.gov","202-225-3411","Massachusetts","25","2503",289599,128307.844501141,42208.8903183269,22660692.188,44.3053479125071,32.8965781339671
"116","MD","03","Sarbanes","John","Democrat","https://sarbanes.house.gov","202-225-4016","Maryland","24","2403",286235,64951.4694816779,21724.6573939906,10047305.0315,22.6916587704781,33.4475225385299
"117","MI","03","Scholten","Hillary","Democrat","https://scholten.house.gov/","202-225-3831","Michigan","26","2603",297551,111382.380038311,46819.5620323092,26800691.875,37.4330383827682,42.0349807718289
"118","MN","03","Phillips","Dean","Democrat","https://phillips.house.gov","202-225-2871","Minnesota","27","2703",282871,69591.5517951107,18954.7733505973,10212523.6411,24.6018686238995,27.2371758664088
"119","MO","03","Luetkemeyer","Blaine","Republican","https://luetkemeyer.house.gov","202-225-2956","Missouri","29","2903",299802,94392.0449146815,34612.3432419423,17327727.2501,31.4847949362184,36.6687079120147
"120","MS","03","Guest","Michael","Republican","https://guest.house.gov","202-225-5031","Mississippi","28","2803",281145,139815.293238421,54233.1503235573,28839903.7505,49.7306703794915,38.7891403489572
"121","NC","03","Murphy","Gregory","Republican","https://gregmurphy.house.gov","202-225-3415","North Carolina","37","3703",293000,136868.209798983,63502.9155895188,33428571.3125,46.7126995900966,46.3971258795486
"122","NE","03","Smith","Adrian","Republican","https://adriansmith.house.gov","202-225-6435","Nebraska","31","3103",262221,110207.373371472,27637.8703680058,13866033.0628,42.0284315029964,25.0780592282586
"123","NJ","03","Kim","Andy","Democrat","https://kim.house.gov","202-225-4765","New Jersey","34","3403",288075,74527.4263977073,16504.4726794995,7333008.7973,25.8708414120307,22.1455019678597
"124","NM","03","Leger Fernandez","Teresa","Democrat","https://fernandez.house.gov","202-225-6190","New Mexico","35","3503",262016,158899.796298118,59824.8896207593,56708492.75,60.6450736970713,37.6494438724889
"125","NV","03","Lee","Susie","Democrat","https://susielee.house.gov","202-225-3252","Nevada","32","3203",303135,117466.328405379,53583.9685706216,25520358.1875,38.7505000759988,45.6164496652198
"126","NY","03","Santos","George","Republican","https://santos.house.gov/","202-225-3335","New York","36","3603",267119,69965.3275555169,18834.6269735841,7662958.6252,26.1925686886807,26.9199439660152
"127","OH","03","Beatty","Joyce","Democrat","https://beatty.house.gov","202-225-4324","Ohio","39","3903",328262,129806.679599103,79086.4925689286,44528519.875,39.5436205223581,60.9263658951762
"128","OK","03","Lucas","Frank","Republican","https://lucas.house.gov","202-225-5565","Oklahoma","40","4003",294900,175880.006002545,63163.9425820963,51510142,59.6405581561699,35.9130887118473
"129","OR","03","Blumenauer","Earl","Democrat","https://blumenauer.house.gov","202-225-4811","Oregon","41","4103",275514,105600.29225613,44361.8364496585,18853437.0939,38.3284668859403,42.0091985560613
"130","PA","03","Evans","Dwight","Democrat","https://evans.house.gov","202-225-4001","Pennsylvania","42","4203",334250,192471.822793137,94928.706153558,52723261,57.5831930570341,49.3208329281449
"131","SC","03","Duncan","Jeff","Republican","https://jeffduncan.house.gov","202-225-5301","South Carolina","45","4503",285824,137528.204169009,62883.2296524866,34026721.938,48.116394763564,45.7238789908207
"132","TN","03","Fleischmann","Charles","Republican","https://fleischmann.house.gov","202-225-3271","Tennessee","47","4703",307999,137390.374453778,42239.2696833944,25558563.8125,44.6074092622956,30.7439803198185
"133","TX","03","Self","Keith","Republican","https://keithself.house.gov/","202-225-4201","Texas","48","4803",265503,59430.6240705277,21078.2435900262,10328093.938,22.3841629173786,35.4669733318166
"134","UT","03","Curtis","John","Republican","https://curtis.house.gov","202-225-7751","Utah","49","4903",263067,92792.6563698024,14579.1778358882,8355751.266,35.2733928504154,15.7115642619244
"135","VA","03","Scott","Robert","Democrat","https://bobbyscott.house.gov","202-225-8351","Virginia","51","5103",312220,146857.782778893,94447.7880766071,51625397,47.0366353144874,64.3124159233743
"136","WA","03","Gluesenkamp Perez","Marie","Democrat","https://gluesenkampperez.house.gov/","202-225-3536","Washington","53","5303",293042,139923.090345846,44118.2722598437,19382802.0318,47.7484764456447,31.5303729718927
"137","WI","03","Van Orden","Derrick","Republican","https://vanorden.house.gov/","202-225-5506","Wisconsin","55","5503",297099,115841.388862142,42184.2042143566,22375463.5313,38.9908376878217,36.4154855433911
"138","AL","04","Aderholt","Robert","Republican","https://aderholt.house.gov","202-225-4876","Alabama","01","0104",270389,154252.411936373,57149.3083847863,32454590.3125,57.0483310846125,37.0492154173639
"139","AR","04","Westerman","Bruce","Republican","https://westerman.house.gov","202-225-3772","Arkansas","05","0504",288681,168660.461713249,57279.8323671243,32296406.5005,58.4245106928578,33.9616243103316
"140","AZ","04","Stanton","Greg","Democrat","https://stanton.house.gov","202-225-9888","Arizona","04","0404",321610,122097.960466015,50863.1705384484,27238994,37.9646032356005,41.6576741694271
"141","CA","04","Thompson","Mike","Democrat","https://mikethompson.house.gov","202-225-3311","California","06","0604",281547,117911.841994995,29194.1886231567,13902925.3753,41.8799852227141,24.7593355588457
"142","CO","04","Buck","Ken","Republican","https://buck.house.gov","202-225-4676","Colorado","08","0804",269842,87579.45301229,17643.1488766985,8716356.891,32.4558271181988,20.1453060847761
"143","CT","04","Himes","James","Democrat","https://himes.house.gov","202-225-5541","Connecticut","09","0904",263617,102751.750814462,26121.2020619566,13892747.6563,38.9776648753539,25.4216612903497
"144","FL","04","Bean","Aaron","Republican","https://bean.house.gov/","202-225-0123","Florida","12","1204",294852,155510.046986308,69069.1325964668,37422842.938,52.7417304228251,44.4145789516403
"145","GA","04","Johnson","Henry","Democrat","https://hankjohnson.house.gov","202-225-1605","Georgia","13","1304",281034,111410.858319655,50993.0345550688,29896501.3755,39.6431955989862,45.7702555425629
"146","IA","04","Feenstra","Randy","Republican","https://feenstra.house.gov","202-225-4426","Iowa","19","1904",318512,133366.021450346,27876.6659417436,14191686.5002,41.8715845714906,20.902375011706
"147","IL","04","García","Jesús","Democrat","https://chuygarcia.house.gov","202-225-8203","Illinois","17","1704",241826,125291.306986171,39538.1792566831,17595044.8758,51.810519541394,31.557001206035
"148","IN","04","Baird","James","Republican","https://baird.house.gov","202-225-5037","Indiana","18","1804",288975,107841.571514984,28287.3171865134,14430134.6253,37.3186509265453,26.230438586091
"149","KS","04","Estes","Ron","Republican","https://estes.house.gov","202-225-6216","Kansas","20","2004",283800,117032.565039086,45581.5957191593,22920811.0625,41.2376902886137,38.9477883390288
"150","KY","04","Massie","Thomas","Republican","https://massie.house.gov","202-225-3465","Kentucky","21","2104",285352,118796.641061293,53333.0403138476,29117714.938,41.6316132570626,44.8944009168831
"151","LA","04","Johnson","Mike","Republican","https://mikejohnson.house.gov","202-225-2777","Louisiana","22","2204",296499,179529.858622864,89821.2120372656,50903228.625,60.5499035824283,50.0313500641427
"152","MA","04","Auchincloss","Jake","Democrat","https://auchincloss.house.gov","202-225-5931","Massachusetts","25","2504",299058,103366.519370216,29637.9897644869,14946345.3752,34.5640375345974,28.6727171864381
"153","MD","04","Ivey","Glenn","Democrat","https://ivey.house.gov/","202-225-8699","Maryland","24","2404",270300,95618.8169501252,34849.2164279144,17360917.5626,35.3750710137348,36.4459815959569
